timeElapsed,wordsSearched
16,10,
0,20,
16,30,
0,40,
15,50,
0,60,
15,70,
16,80,
16,90,
16,100,
31,110,
16,120,
31,130,
32,140,
47,150,
43,160,
35,170,
32,180,
47,190,
47,200,
47,210,
47,220,
47,230,
63,240,
31,250,
47,260,
31,270,
47,280,
47,290,
31,300,
47,310,
46,320,
63,330,
62,340,
47,350,
62,360,
47,370,
62,380,
94,390,
47,400,
78,410,
63,420,
47,430,
93,440,
93,450,
78,460,
94,470,
234,480,
78,490,
78,500,
125,510,
62,520,
78,530,
62,540,
94,550,
109,560,
94,570,
156,580,
96,590,
79,600,
110,610,
78,620,
141,630,
171,640,
94,650,
172,660,
94,670,
94,680,
95,690,
78,700,
109,710,
107,720,
125,730,
156,740,
140,750,
109,760,
125,770,
156,780,
110,790,
95,800,
125,810,
109,820,
125,830,
125,840,
157,850,
125,860,
110,870,
110,880,
110,890,
125,900,
125,910,
125,920,
172,930,
157,940,
125,950,
109,960,
140,970,
215,980,
125,990,
235,1000,
125,1010,
125,1020,
187,1030,
189,1040,
141,1050,
156,1060,
141,1070,
203,1080,
172,1090,
188,1100,
156,1110,
140,1120,
172,1130,
172,1140,
187,1150,
157,1160,
196,1170,
188,1180,
235,1190,
219,1200,
187,1210,
187,1220,
188,1230,
172,1240,
204,1250,
219,1260,
218,1270,
266,1280,
204,1290,
203,1300,
328,1310,
203,1320,
219,1330,
329,1340,
203,1350,
218,1360,
219,1370,
205,1380,
187,1390,
312,1400,
188,1410,
181,1420,
281,1430,
203,1440,
218,1450,
282,1460,
206,1470,
266,1480,
298,1490,
312,1500,
234,1510,
219,1520,
250,1530,
297,1540,
235,1550,
235,1560,
313,1570,
288,1580,
288,1590,
266,1600,
250,1610,
235,1620,
250,1630,
296,1640,
321,1650,
250,1660,
234,1670,
268,1680,
265,1690,
297,1700,
290,1710,
251,1720,
252,1730,
266,1740,
250,1750,
265,1760,
286,1770,
266,1780,
266,1790,
266,1800,
282,1810,
271,1820,
250,1830,
274,1840,
267,1850,
275,1860,
312,1870,
265,1880,
282,1890,
269,1900,
250,1910,
266,1920,
282,1930,
282,1940,
297,1950,
266,1960,
266,1970,
297,1980,
345,1990,
280,2000,
288,2010,
266,2020,
267,2030,
313,2040,
422,2050,
344,2060,
281,2070,
297,2080,
297,2090,
266,2100,
281,2110,
282,2120,
297,2130,
297,2140,
328,2150,
329,2160,
297,2170,
345,2180,
302,2190,
312,2200,
328,2210,
392,2220,
313,2230,
344,2240,
345,2250,
369,2260,
335,2270,
328,2280,
393,2290,
354,2300,
401,2310,
390,2320,
389,2330,
343,2340,
328,2350,
360,2360,
475,2370,
394,2380,
420,2390,
365,2400,
404,2410,
344,2420,
391,2430,
398,2440,
366,2450,
384,2460,
365,2470,
374,2480,
346,2490,
342,2500,
329,2510,
354,2520,
346,2530,
378,2540,
419,2550,
328,2560,
352,2570,
400,2580,
447,2590,
463,2600,
452,2610,
402,2620,
385,2630,
384,2640,
357,2650,
442,2660,
441,2670,
405,2680,
390,2690,
361,2700,
358,2710,
406,2720,
391,2730,
411,2740,
437,2750,
363,2760,
434,2770,
392,2780,
374,2790,
528,2800,
422,2810,
414,2820,
410,2830,
379,2840,
439,2850,
420,2860,
413,2870,
439,2880,
416,2890,
396,2900,
382,2910,
428,2920,
441,2930,
418,2940,
582,2950,
471,2960,
418,2970,
461,2980,
470,2990,
453,3000,
450,3010,
460,3020,
443,3030,
444,3040,
490,3050,
456,3060,
434,3070,
502,3080,
421,3090,
422,3100,
437,3110,
424,3120,
441,3130,
485,3140,
471,3150,
439,3160,
453,3170,
438,3180,
454,3190,
469,3200,
472,3210,
467,3220,
469,3230,
485,3240,
483,3250,
482,3260,
522,3270,
454,3280,
488,3290,
448,3300,
453,3310,
470,3320,
484,3330,
514,3340,
529,3350,
528,3360,
521,3370,
526,3380,
512,3390,
539,3400,
511,3410,
548,3420,
521,3430,
543,3440,
566,3450,
581,3460,
530,3470,
530,3480,
564,3490,
629,3500,
587,3510,
637,3520,
591,3530,
555,3540,
555,3550,
502,3560,
466,3570,
532,3580,
619,3590,
641,3600,
578,3610,
574,3620,
546,3630,
560,3640,
562,3650,
555,3660,
569,3670,
639,3680,
650,3690,
661,3700,
651,3710,
557,3720,
559,3730,
571,3740,
597,3750,
567,3760,
570,3770,
572,3780,
578,3790,
572,3800,
559,3810,
592,3820,
566,3830,
628,3840,
612,3850,
626,3860,
574,3870,
645,3880,
687,3890,
509,3900,
554,3910,
613,3920,
623,3930,
596,3940,
602,3950,
602,3960,
598,3970,
616,3980,
598,3990,
613,4000,
611,4010,
610,4020,
657,4030,
612,4040,
614,4050,
620,4060,
608,4070,
595,4080,
567,4090,
635,4100,
592,4110,
571,4120,
602,4130,
623,4140,
594,4150,
642,4160,
613,4170,
641,4180,
644,4190,
638,4200,
642,4210,
665,4220,
642,4230,
644,4240,
658,4250,
639,4260,
649,4270,
680,4280,
646,4290,
646,4300,
659,4310,
663,4320,
665,4330,
660,4340,
656,4350,
746,4360,
804,4370,
820,4380,
737,4390,
701,4400,
796,4410,
933,4420,
788,4430,
743,4440,
762,4450,
832,4460,
745,4470,
667,4480,
623,4490,
650,4500,
799,4510,
867,4520,
807,4530,
668,4540,
650,4550,
620,4560,
642,4570,
698,4580,
702,4590,
709,4600,
796,4610,
634,4620,
720,4630,
656,4640,
671,4650,
715,4660,
768,4670,
673,4680,
703,4690,
689,4700,
693,4710,
672,4720,
652,4730,
706,4740,
672,4750,
699,4760,
720,4770,
643,4780,
688,4790,
670,4800,
716,4810,
726,4820,
751,4830,
717,4840,
689,4850,
782,4860,
703,4870,
806,4880,
696,4890,
713,4900,
704,4910,
735,4920,
748,4930,
784,4940,
731,4950,
719,4960,
830,4970,
764,4980,
695,4990,
727,5000,
694,5010,
687,5020,
780,5030,
751,5040,
743,5050,
682,5060,
801,5070,
